"id","name","address","sex","dob","team"
1,"Braun, Alayna","3949 Route 31, Clay NY 13041","F","September 16, 1952","NY1"
2,"Schneider, Mercedes","1201 Rt 300, Newburgh NY 12550","F","September 23, 1952","NY1"
3,"Guerra, Kyra","5560 Mcclellan Blvd, Anniston AL 36206","F","October 17, 1952","AL1"
4,"Fletcher, Alexandria","5360 Southwestern Blvd, Hamburg NY 14075","F","November 9, 1956","NY1"
5,"Lowery, Franklin","685 Schillinger Rd, Mobile AL 36695","M","January 23, 1957","AL1"
6,"Archer, Payton","1801 Hwy 78 East, Jasper AL 35501","F","January 20, 1958","AL1"
7,"Mills, Timothy","70 Pleasant Valley Street, Methuen MA 1844","M","February 17, 1959","MA1"
8,"Kennedy, Kari","465 Bridgeport Avenue, Shelton CT 6484","F","December 28, 1961","CT1"
9,"Baxter, Darius","10710 Chantilly Pkwy, Montgomery AL 36117","M","December 25, 1967","AL1"
10,"Green, Kylee","200 Otis Street, Northborough MA 1532","F","November 25, 1969","MA1"
11,"Sweeney, Priscilla","300 Colony Place, Plymouth MA 2360","F","April 19, 1971","MA1"
12,"Higgins, Charlie","1549 Rt 9, Halfmoon NY 12065","M","June 4, 1971","NY1"
13,"Mcdaniel, Ruben","5783 So Transit Road, Lockport NY 14094","M","January 16, 1975","NY1"
14,"Curry, Jermaine","830 Curran Memorial Hwy, North Adams MA 1247","M","October 10, 1975","MA1"
15,"Hutchinson, Dominique","161 Berlin Road, Cromwell CT 6416","F","January 8, 1979","CT1"
16,"Kaufman, Zachery","145 Kelley Blvd, Millbrook AL 36054","M","March 18, 1985","AL1"
17,"Frey, Christina","7155 State Rt 12 S, Lowville NY 13367","F","September 16, 1987","NY1"
18,"Rowland, Colby","10675 Hwy 5, Brent AL 35034","M","March 16, 1988","AL1"
19,"Herman, Brad","6265 Brockport Spencerport Rd, Brockport NY 14420","M","March 14, 1989","NY1"
20,"Kirk, Jillian","1201 Hwy 31 NW, Hartselle AL 35640","F","September 27, 1989","AL1"
21,"Valenzuela, Glenn","5710 Mcfarland Blvd, Northport AL 35476","M","February 19, 1992","AL1"
22,"Holden, Francesca","165 Vaughan Ln, Pell City AL 35125","F","August 12, 1996","AL1"
23,"Porter, Jonah","4310 Montgomery Hwy, Dothan AL 36303","M","November 20, 1996","AL1"
24,"Hammond, Emanuel","20 Soojian Dr, Leicester MA 1524","M","February 4, 1997","MA1"
25,"Zavala, Nickolas","16077 Highway 280, Chelsea AL 35043","M","November 15, 2000","AL1"
